v8-version,4,6,85,28,0
code-creation,StorePreMonomorphic,9,0x65b7ab263a0,123,"args_count: 0"
timer-event-end,"V8.IcMiss",19394
timer-event-start,"V8.IcMiss",19400
timer-event-end,"V8.IcMiss",19405
timer-event-start,"V8.IcMiss",19408
timer-event-end,"V8.IcMiss",19412
timer-event-start,"V8.IcMiss",19415
timer-event-end,"V8.IcMiss",19419
timer-event-start,"V8.IcMiss",19422
timer-event-end,"V8.IcMiss",19425
timer-event-start,"V8.IcMiss",19429
timer-event-end,"V8.IcMiss",19432
timer-event-start,"V8.IcMiss",19436
timer-event-end,"V8.IcMiss",19440
timer-event-start,"V8.IcMiss",19443
timer-event-end,"V8.IcMiss",19447
timer-event-start,"V8.IcMiss",19450
timer-event-end,"V8.IcMiss",19454
timer-event-start,"V8.IcMiss",19457
timer-event-end,"V8.IcMiss",19461
timer-event-start,"V8.IcMiss",19464
timer-event-end,"V8.IcMiss",19468
timer-event-start,"V8.IcMiss",19470
timer-event-end,"V8.IcMiss",19474
